,edad,genero,ingresos,altura,ciudad,niv_edu,hijos
0,82.0,F,62297.0,1.96,Phoenix,,0
1,15.0,F,38674.0,1.83,New York,PhD,4
2,57.0,,,1.87,,Bachelors,5
3,95.0,M,29759.0,1.77,Chicago,PhD,4
4,36.0,M,99938.0,1.78,Phoenix,PhD,5
5,,,,1.64,,mastre,5
6,29.0,F,75609.0,1.59,Chicago,Master,4
7,,,65972.0,1.96,,Bachelors,4
8,,,,1.98,,Bachelors,1
9,57.0,,65972.0,1.52,,bachelors,4
10,,,65972.0,1.59,,mastre,5
11,95.0,M,96068.0,1.71,Houston,,5
12,70.0,M,94801.0,1.75,Houston,Master,4
13,12.0,F,28046.0,1.91,Los Angeles,,5
14,57.0,,65972.0,1.65,,Bachelors,4
15,55.0,M,80718.0,1.67,New York,Master,5
16,5.0,F,50315.0,1.91,Chicago,PhD,4
17,4.0,F,22593.0,1.95,Houston,Bachelor,0
18,12.0,F,34145.0,1.8,Los Angeles,,1
19,28.0,M,22695.0,1.79,Los Angeles,Master,5
20,30.0,F,83671.0,1.95,New York,Master,0
21,,,65972.0,1.74,,mastre,3
22,78.0,F,29311.0,1.81,Houston,Master,2
23,4.0,F,92847.0,1.57,Los Angeles,Bachelor,3
24,72.0,F,88317.0,1.9,Phoenix,,5
25,26.0,F,73978.0,1.54,New York,Bachelor,1
26,92.0,M,24141.0,1.76,New York,Master,0
27,84.0,F,28276.0,1.88,Chicago,Bachelor,5
28,90.0,M,75738.0,1.95,Chicago,,0
29,70.0,F,20669.0,1.95,Houston,bachelor,5
30,54.0,F,21123.0,1.95,Houston,Master,3
31,29.0,M,52039.0,1.79,Phoenix,Master,5
32,58.0,F,53514.0,1.72,Chicago,,0
33,76.0,F,66416.0,1.71,Los Angeles,PhD,4
34,36.0,F,74937.0,1.57,Phoenix,Master,4
35,1.0,F,26377.0,1.83,New York,PhD,1
36,98.0,M,69873.0,1.51,New York,,2
37,21.0,M,36936.0,1.53,New York,bachelor,3
38,90.0,M,91992.0,1.79,Houston,Bachelor,4
39,55.0,F,89101.0,1.55,Los Angeles,Bachelor,1
40,57.0,,,1.85,,pHd,2
41,36.0,F,74461.0,1.84,Houston,Bachelor,1
42,20.0,F,70142.0,1.64,Houston,PhD,4
43,28.0,F,72634.0,1.88,New York,Master,4
44,98.0,F,57902.0,1.55,Phoenix,Master,4
45,44.0,F,64286.0,1.64,New York,Master,5
46,14.0,M,38642.0,1.6,Chicago,,4
47,,,,1.69,,pHd,3
48,49.0,M,80258.0,1.57,Phoenix,,1
49,13.0,M,36831.0,1.83,Houston,PhD,5
50,46.0,M,66237.0,1.85,Los Angeles,PhD,0
51,45.0,M,45428.0,1.82,Chicago,PhD,3
52,57.0,,65972.0,1.62,,pHd,1
53,34.0,M,26314.0,1.77,Houston,PhD,2
54,6.0,M,20049.0,1.55,Phoenix,,3
55,94.0,M,20726.0,1.98,Phoenix,Bachelor,4
56,59.0,M,92046.0,1.9,New York,PhD,1
57,69.0,F,66963.0,1.95,Los Angeles,,3
58,16.0,M,53119.0,1.8,Houston,Bachelor,5
59,49.0,F,97530.0,1.6,New York,Master,5
60,11.0,F,86420.0,1.54,Houston,,0
61,71.0,M,92119.0,1.82,New York,,5
62,38.0,F,90564.0,1.63,Phoenix,PhD,1
63,81.0,M,34472.0,1.7,New York,PhD,4
64,80.0,F,24521.0,1.9,Chicago,,5
65,57.0,,65972.0,1.81,,mastre,1
66,74.0,M,66724.0,1.63,Chicago,,5
67,57.0,,65972.0,1.78,,mastre,2
68,91.0,M,94012.0,1.78,Phoenix,Master,3
69,,,,1.87,,no education,5
70,57.0,,65972.0,1.94,,Bachelors,3
71,85.0,M,39830.0,1.7,Houston,,1
72,30.0,M,43410.0,1.8,Chicago,Bachelor,3
73,99.0,F,54303.0,1.6,Phoenix,PhD,2
74,38.0,F,50497.0,1.6,Phoenix,,5
75,11.0,M,32872.0,1.73,Houston,Master,2
76,30.0,M,87387.0,1.77,Chicago,,0
77,13.0,M,82283.0,1.51,Phoenix,Bachelor,0
78,49.0,M,32858.0,1.58,Phoenix,,3
79,57.0,,65972.0,1.63,,mastre,3
80,59.0,F,85529.0,1.69,Los Angeles,Master,0
81,82.0,F,25212.0,1.94,Chicago,Master,2
82,47.0,M,32986.0,1.77,Houston,Master,3
83,21.0,M,57136.0,1.69,Houston,PhD,1
84,48.0,F,37757.0,1.51,New York,PhD,1
85,46.0,F,91495.0,1.77,New York,Bachelor,3
86,27.0,F,20173.0,1.81,Houston,PhD,3
