,edad,genero,ingresos,altura,ciudad,niv_edu,hijos
0,82,F,62297.0,1.96,Phoenix,n/e,0
1,15,F,38674.0,1.83,New York,PhD,4
2,166,M,62099.0,1.87,Chicago,Bachelor,2
3,95,M,29759.0,1.77,Chicago,PhD,4
4,36,M,99938.0,1.78,Phoenix,PhD,5
5,53,M,62099.0,1.64,Chicago,Master,2
6,29,F,75609.0,1.59,Chicago,Master,4
7,53,M,195472.0,1.96,Chicago,Bachelor,2
8,53,M,62099.0,1.98,Chicago,Bachelor,2
9,193,M,188965.0,1.52,Chicago,Bachelor,2
10,53,M,161634.0,1.59,Chicago,Master,2
11,95,M,96068.0,1.71,Houston,n/e,5
12,70,M,94801.0,1.75,Houston,Master,4
13,12,F,28046.0,1.91,Los Angeles,n/e,5
14,188,M,158404.0,1.65,Chicago,Bachelor,2
15,55,M,80718.0,1.67,New York,Master,5
16,5,F,50315.0,1.91,Chicago,PhD,4
17,4,F,22593.0,1.95,Houston,Bachelor,0
18,12,F,34145.0,1.8,Los Angeles,n/e,1
19,28,M,22695.0,1.79,Los Angeles,Master,5
20,30,F,83671.0,1.95,New York,Master,0
21,53,M,171768.0,1.74,Chicago,Master,2
22,78,F,29311.0,1.81,Houston,Master,2
23,4,F,92847.0,1.57,Los Angeles,Bachelor,3
24,72,F,88317.0,1.9,Phoenix,n/e,5
25,26,F,73978.0,1.54,New York,Bachelor,1
26,92,M,24141.0,1.76,New York,Master,0
27,84,F,28276.0,1.88,Chicago,Bachelor,5
28,90,M,75738.0,1.95,Chicago,n/e,0
29,70,F,20669.0,1.95,Houston,Bachelor,5
30,54,F,21123.0,1.95,Houston,Master,3
31,29,M,52039.0,1.79,Phoenix,Master,5
32,58,F,53514.0,1.72,Chicago,n/e,0
33,76,F,66416.0,1.71,Los Angeles,PhD,4
34,36,F,74937.0,1.57,Phoenix,Master,4
35,1,F,26377.0,1.83,New York,PhD,1
36,98,M,69873.0,1.51,New York,n/e,2
37,21,M,36936.0,1.53,New York,Bachelor,3
